A-baseline	1	calls=30	program_invocations=53
A-apg	1	calls=18	program_invocations=52
B-baseline	1	calls=28	program_invocations=69
B-apg	1	calls=28	program_invocations=60
A-baseline	2	calls=30	program_invocations=59
A-apg	2	calls=24	program_invocations=57
B-baseline	2	calls=24	program_invocations=57
B-apg	2	calls=21	program_invocations=49
A-apg-forced	x	calls=28	program_invocations=64
B-apg-forced	x	calls=23	program_invocations=52
